GO_id,description,gene_ratio,bg_ratio,p_value,p_adjust,q_value,gene_ids,count
GO:0007159,leukocyte cell-cell adhesion,145/5559,414/18903,0.0071738301633484,0.0358136258154777,0.0252551084697967,572/960/54542/65125/8943/5590/8440/7037/60/1739/384/5788/7430/8174/3956/10725/259307/64926/7297/3718/81704/6461/57178/6603/1845/7704/4192/975/9750/604/3280/868/3485/8289/2309/10808/6659/1948/8744/6597/2113/10457/9314/51176/6541/11221/9580/27242/50848/861/51043/7412/3600/9655/1051/10524/5970/5771/6666/5781/1960/2131/282618/8651/196528/3117/441478/100133941/406991/3479/6093/6605/119/51412/3566/6604/7494/1511/2737/942/383/23240/54900/6385/6370/5914/8546/301/4907/64844/3142/64116/2064/27/3329/3688/51571/7070/836/29117/3481/9306/11146/2650/3123/864/5588/387/6793/55824/1947/1725/4092/959/29108/2267/857/6387/1949/56940/84695/5105/3659/57045/55274/59067/8654/5530/6601/4478/56477/80149/84807/283234/399/10892/6599/7189/340481/5074/5465/3146/1604/4067/5175,145
GO:0044782,cilium organization,145/5559,391/18903,0.0005826975671293,0.0053691418685491,0.0037862198309263,6792/1767/4134/10198/9696/1785/5991/10464/51314/5990/8655/57096/10013/3983/9342/11020/6101/93233/7016/27077/10938/27031/80321/56171/83544/55717/989/80776/10257/8195/55112/146057/5819/3911/10677/80210/54874/403/55212/91978/115704/51057/64422/221322/2934/84229/2909/89765/221908/154865/4218/352909/26005/153241/3175/5314/9657/51134/79874/146754/401024/2316/3064/55779/100507003/57787/80199/79645/57545/23224/9474/57560/5108/2932/80173/9786/25876/29070/9368/57562/23329/5992/10096/55704/112752/27019/54806/4957/282809/1453/22994/84131/4851/132320/50807/200162/755/27185/3754/200373/27148/348807/55764/27152/286464/284001/285331/89876/10801/79659/387712/144535/90120/8100/55761/3784/2665/29105/7419/8555/1540/95681/25981/117178/9480/4952/90416/22832/9857/10097/85452/55835/57728/57216/123016/55130/84140/25914/63917/3985/200728/137392/2712/80217/168448,145
GO:1904062,regulation of cation transmembrane transport,144/5559,394/18903,0.0012096628704328,0.0092008555593062,0.0064882736632822,3757/493/65125/81671/8514/10060/10681/79041/1739/1785/53827/6548/255057/2259/3783/2906/57620/5924/5144/54800/5335/1908/79026/482/2258/1804/3270/1742/10021/342667/351/59283/805/6622/817/117532/288/23704/65018/808/2669/81831/55636/2783/57628/930/6331/8398/80333/10345/729956/5649/2316/3064/6262/9722/406895/7114/5348/406991/6376/477/9474/56848/51083/483/1906/65990/59284/9368/63892/383/3306/7533/84766/1729/2922/29979/967/80204/7009/5170/3688/9472/7402/781/7070/776/7871/1020/784/22871/3777/196527/2903/219527/5142/65267/801/1756/554212/406944/5534/578/23327/3784/4734/3781/84502/4318/857/5532/3736/81539/4988/2257/30819/2185/7222/5530/196541/149111/6769/1392/1813/9456/154043/9478/2539/348980/783/55800/255738/7881/5581/150684/30820/5587/388336/5350/27347/6844/53822/4067,144
GO:0001933,negative regulation of protein phosphorylation,144/5559,338/18903,1.34492460260985e-07,6.52237871190489e-06,4.59946118549833e-06,51085/84062/5590/8440/5788/10464/3301/4616/25793/6547/54922/5518/23770/3315/51422/7016/6461/80279/1845/867/23603/10019/5144/868/1843/9479/4035/1026/1032/324/79899/55755/4091/4916/11221/805/58190/6622/56288/79705/84919/57732/808/1849/161742/138429/54541/124790/10636/7532/5569/9655/10221/10106/5771/3725/5339/6879/91663/9241/9021/8651/5071/10614/5478/4763/104/406895/10399/286430/1050/9043/3843/8692/2950/7023/1399/6422/58509/1855/9270/54900/5585/650/4298/64793/4221/10253/6895/5170/9353/27250/7070/7345/5783/94032/10252/836/2810/4869/64853/81848/5575/801/22876/1756/406929/5591/578/5291/6317/7251/23411/4092/29108/857/11329/56940/3156/79706/1028/116496/374462/5925/93649/409/10217/3486/1030/203228/1813/154043/284/135228/7498/2039/80149/753/54625/64754/5770/200734/11116/4067,144
GO:0016311,dephosphorylation,143/5559,357/18903,9.19329227664057e-06,0.0002180027028835,0.000153731485787,5725/5536/10903/29085/10076/3632/5526/23293/5523/5527/5788/5775/3326/8897/26051/2138/51231/5802/5518/64077/80279/84687/1845/23371/7803/2771/9829/5524/1843/1846/30833/8189/5786/51496/5495/3613/5792/55917/261726/2029/11221/805/58190/5793/2768/5789/55529/84919/65018/808/221908/151742/1849/3636/7248/3635/5780/23261/10106/5771/5781/1003/186/8073/283871/5501/5478/3064/5500/139420/4659/9150/5525/6093/27071/23291/2932/9701/5494/994/22870/10842/55291/57460/1408/650/5782/23075/1847/57552/133522/130367/5783/132160/7184/8493/5499/5797/84792/5504/9863/57181/6815/801/22876/5534/57223/8555/8898/80316/3551/5803/5532/8821/56940/6794/4952/64759/5530/374462/8826/85464/8612/1813/5529/333926/54935/84988/51205/134/54704/26012/8945/4534/57546/5770/160760/92235/26095/255919/22908/168448/153743,143
GO:0060070,canonical Wnt signaling pathway,143/5559,310/18903,2.7258699092619803e-10,4.18615736065233e-08,2.95200097191003e-08,440193/25960/65125/10076/7089/55593/55737/7481/9978/55612/2010/2254/8312/51366/27120/79816/2931/64750/4192/2735/1432/27031/3485/9736/81847/2309/1958/6659/54795/1455/324/22881/9314/5495/51176/7090/3487/7483/9580/27303/2719/6934/83439/79705/8324/51704/1613/92162/1499/3516/53944/9839/1501/3728/8325/56998/2262/2535/2131/84133/9241/83999/5071/6477/147906/441478/1654/2297/406937/80199/5218/1906/2932/5494/57680/6422/2737/23189/1855/1277/9368/4790/10297/607/10459/252839/23240/80114/6662/650/59352/4038/8796/9101/144165/1453/63977/8994/1956/4851/2308/89780/8321/1896/27185/51339/4163/5499/5916/80139/130574/55182/9679/7088/2263/7479/79960/6932/1540/1749/857/65981/7474/7475/6794/7471/55681/85458/1456/4929/7476/27123/1857/10023/8945/8313/284654/1000/4300/283149/388336/442911/1454,143
GO:2000146,negative regulation of cell motility,143/5559,383/18903,0.000454464819663,0.0044958559613907,0.0031703947138587,7414/999/493/10076/4804/5217/23332/7481/23598/657/10014/1845/23603/64426/9750/653/2043/2309/1843/4035/5911/6237/23309/54567/482/4301/5879/7080/9314/90865/7057/7168/11057/11221/8751/388/5793/2768/3084/56999/10370/1365/161742/138429/10653/6774/4204/25932/5734/84978/10221/3728/186/5912/9241/10718/613/196528/9901/51466/4763/57522/104/554213/693173/406937/406991/6376/80199/1495/22998/1265/8692/29775/79890/6422/8976/727/23189/9368/5467/6722/9270/10672/6370/84034/23143/23213/5607/9353/4851/2697/7070/23122/3622/25942/6091/4163/653464/1605/5797/286205/79772/23236/9863/9289/406929/100302153/11188/5926/51742/387/6910/182/4092/65009/5054/6387/56940/3488/130399/684/90627/79595/80031/93649/23671/90102/3486/1813/56477/201163/673/5928/134/8819/1398/753/5592/3146/50859/100423036/83481,143
GO:1901990,regulation of mitotic cell cycle phase transition,142/5559,354/18903,9.0400340465605e-06,0.0002151594819199,0.0001517264987966,996/55904/5310/8193/672/1112/60/1739/51433/990/84861/25793/79791/8766/2146/80279/6603/84687/595/25906/90/8289/1063/894/1843/3624/11130/6491/9587/1026/55795/6597/1032/324/51347/1019/84101/10457/9314/55755/580/351/83540/163859/58190/472/9344/678/9577/57551/144455/7465/10263/4204/5569/1263/10106/348654/5890/4582/5087/677/126520/196528/1654/100131816/50484/6605/51412/6604/51720/7023/51322/994/1869/5934/51343/29997/9275/605/10111/3398/10459/1017/3306/26057/902/301/23476/10769/1956/9510/286053/6154/11073/51339/29117/8738/25942/51379/55367/4762/23236/135458/5591/54443/23026/7175/55743/79960/8555/2068/29086/26271/9928/54617/55274/27183/81853/6601/5925/90381/51514/10217/1030/58493/138151/55835/9184/7508/8450/7015/983/6241/27085/6599/64859/55920/11200/7027/8110/168448,142
GO:0007059,chromosome segregation,142/5559,382/18903,0.0005882794051984,0.0054128418880595,0.0038170362787931,996/9031/8193/672/10460/4438/10734/60/55063/10464/23047/51510/51433/990/84861/10664/7329/8766/11339/5518/6603/25906/51652/148479/6421/8289/1063/10274/55719/1843/23244/11130/9587/55795/6597/324/84101/55755/10609/83540/28989/472/3192/64210/164045/23353/2669/1499/10636/157570/10524/2072/348654/1104/387893/57697/196528/7405/7150/100507650/1654/100131816/6605/51412/6604/11144/81610/10735/10270/9275/605/11044/2908/10096/10459/8239/64793/7153/83990/10592/4926/10300/84643/11004/23126/27436/1060/256006/7013/56776/286053/79677/221150/29117/80198/285498/5359/1778/9874/23137/387103/101928601/64940/29781/7175/23369/998/55743/546/81929/1457/2068/55294/26271/150465/9928/54617/55274/27183/84722/9698/57082/10097/3832/6601/5925/114799/84072/79998/9184/284086/25836/56979/8313/6599/150280/80010/55920/84464/10388/8110/57132,142
GO:0018209,peptidyl-serine modification,142/5559,332/18903,1.23486877278722e-07,6.0800790721203e-06,4.28755963617002e-06,5310/51085/960/493/65125/5586/5590/5217/8440/7037/2011/5743/9175/369/3320/51701/10013/10044/3326/2872/10110/8312/1760/51231/22983/2931/1432/7422/5144/2591/6446/10045/5582/146057/3270/4294/1455/4916/351/2590/6622/817/84630/28989/5058/472/140609/814/55351/1859/65018/57731/253260/22853/64324/54541/53944/9451/9024/627/8408/6197/388228/7150/10399/286430/9641/10178/5583/6093/6196/4140/2932/23139/5594/5155/9252/208/7867/10459/79109/5585/1017/10253/8412/5593/5170/1453/114805/10769/1956/85456/5578/89780/5584/133584/1020/5579/545/9874/22876/1756/23012/5591/7444/578/5601/5588/815/27330/1457/4092/3551/857/65981/11329/7474/200576/5105/5894/409/6872/1456/154043/284/23049/673/2039/282974/202374/983/166614/5581/156/11200/5587/64754/50859/27347/1454/96459/6997,142
GO:0021537,telencephalon development,142/5559,255/18903,1.252417000725e-18,2.01952241366888e-15,1.42412996319269e-15,572/170302/5048/10460/1767/493/50937/10371/284403/5915/84678/1943/140679/1021/4967/2146/26468/57178/84687/4192/266727/3280/57142/7143/6513/7852/3624/8195/64919/482/2258/57688/54407/7080/51176/3480/66000/7547/3084/7804/6497/2618/10642/7832/4760/23353/7248/83696/10501/1499/153241/238/55636/474/26047/664/2131/1436/2049/6331/6092/10718/3014/5649/5079/4763/5455/317762/477/65078/23224/2932/1399/2737/2253/5992/221692/6722/3398/4852/650/93986/5914/8650/9353/1956/89780/27185/8320/836/167153/1020/6091/653464/84750/1600/2290/2066/23236/5454/79633/9289/55236/387/7515/56949/64211/3912/114327/3091/6299/9253/1749/6387/6506/3736/7474/9928/6608/63827/23287/6434/81853/8893/79648/6867/1813/9638/84623/85458/7545/3361/123016/3251/1398/166614/1000/8941/2523/25987/79048/91584,142
GO:0010038,response to metal ion,141/5559,360/18903,3.96176047978897e-05,0.0006760146850433,0.0004767130891998,572/10165/2696/9066/5536/2067/999/6857/4205/4129/7037/5743/513/55512/2931/595/8437/3485/4297/79085/2354/468/3727/1742/5111/9633/842/27345/7020/7057/3613/7226/351/805/6622/817/1740/288/140609/3778/3745/653361/808/7412/5224/8754/10768/25932/2353/10156/100271927/3726/9451/682/664/387758/3725/6331/71/5071/353174/6261/131034/8912/4155/6262/1050/2729/8913/1373/9474/10235/1906/8895/80271/118/3710/5594/84557/2742/51760/10397/7036/4048/1385/383/1788/265/6861/254428/7252/3158/144402/3756/151835/1956/114/836/1536/125981/22871/3777/5499/1728/5359/140576/801/6263/3309/5601/6558/4734/1371/3091/4318/857/3736/7474/7139/30819/2185/466/79800/7222/5530/8826/8893/5066/1813/9456/654/673/2039/2539/84059/7015/983/143425/955/27347/84258,141
GO:0046486,glycerolipid metabolic process,141/5559,399/18903,0.0056086239990895,0.0299151784197743,0.0210956321422839,5048/51099/10903/10908/26751/3631/1608/3632/51447/6720/5289/1120/8897/80339/9663/660/10423/5296/1119/10162/8503/5335/51141/79575/3949/376497/7376/64900/10955/10677/85465/27163/11057/3613/114884/27315/8525/472/55529/9162/1040/151056/54965/133121/3636/138429/3635/4204/9655/5293/10524/4023/5781/1436/283871/8398/9021/8651/5333/5320/5154/7405/338328/1373/56895/23446/1103/949/338/80271/5155/9468/5321/8835/84668/2181/56261/80025/145447/204962/55500/79888/171586/824/256987/21/10555/9306/154141/81490/23236/5833/3638/5359/30849/22876/5291/27440/3030/23259/8898/94005/23411/26090/9388/64788/857/9487/8821/55294/56994/200576/4952/116255/5105/57153/84962/3357/1607/129642/7941/158835/284161/285172/23049/51205/2171/5277/145567/255738/4534/256356/9807/11145/2712/23556/84188/255919/22908/283/5297,141
GO:0048545,response to steroid hormone,141/5559,339/18903,9.52987069135011e-07,3.14874787924152e-05,2.22043893695677e-05,572/7035/2288/1407/672/8284/10076/4129/490/6720/8626/5743/5978/3301/2099/10013/10521/23543/51366/2931/23081/20/57178/1655/84687/55325/595/4192/10728/4848/2690/90/6869/3485/55818/8289/6446/2309/2103/2693/55809/2354/9572/6597/5447/7538/4654/3169/6155/23558/5111/842/3351/7057/2100/10499/3480/11057/4916/10498/5058/678/10018/3192/808/8928/2560/476/10424/8085/54541/8754/367/2353/85315/9420/2101/8061/2/387758/6879/51341/5187/677/2104/4155/112398/477/1373/9063/1906/7023/6422/5730/1277/5467/2908/7337/383/51569/1408/5585/7533/9667/3158/1828/301/9101/9353/4851/1977/4306/133522/5207/836/1536/6340/21/5069/6586/1364/65992/79447/387/4734/23411/5327/857/590/687/5105/4821/9575/196541/5066/654/6750/8313/64754/5465/27347,141
GO:0032259,methylation,140/5559,390/18903,0.0030518536642423,0.018465718700153,0.0130216842926742,55904/54623/3720/672/58508/4802/8726/11176/79977/2122/1789/1312/27037/6634/10664/2935/9545/2931/2146/23081/7468/51111/51409/55818/55870/7799/4297/196483/26147/3276/84190/84705/84787/4089/10498/63976/653333/7403/63978/28989/9219/26040/22976/26053/55199/7832/4000/64783/158234/64324/54815/8085/1499/55209/3008/4204/56980/2353/10782/55729/3054/51574/57673/23512/79813/54880/387893/7490/5079/63925/9757/4800/56981/60487/65990/84148/55011/59336/63892/4548/1788/10155/1786/23378/4221/51531/23070/23168/80204/23476/63977/9869/79823/9589/30827/26097/8320/118881/196074/6419/8493/92342/5870/11180/29072/85002/79979/23054/79447/55471/5926/51742/93166/9682/546/51605/23411/9739/150572/23463/79084/5929/387338/90853/64855/11107/196541/22823/57721/163589/80335/56979/154743/64745/4255/55152/7469/64754/3006/9646,140
GO:0010506,regulation of autophagy,140/5559,344/18903,4.26181503221083e-06,0.0001122532625765,7.91589306557791e-05,572/79142/55737/55062/6720/7107/5289/58476/27244/27131/10013/84861/25793/8897/9517/5127/8140/54922/5296/2931/3315/6009/1982/2597/3953/2309/148/9559/10133/60412/57533/4170/6622/401548/472/3708/9531/10018/60592/528/1915/65018/51375/7248/2801/4218/1613/6774/9637/81603/10524/1263/2072/664/8408/5071/29978/3064/7405/6721/10206/535/55187/9474/8975/6093/11043/2932/23256/51322/9681/11040/84148/6625/7957/523/57535/64121/3791/29979/84749/29919/3607/27/5899/10769/92140/2308/7345/23367/26086/836/1020/23255/220441/11180/30849/5660/114881/9821/23604/23274/51606/5291/11178/9682/4943/4734/23032/10325/55763/23411/3091/8131/29108/55294/5768/6794/55847/60673/826/6885/3357/245973/9140/203228/143686/9638/140710/26353/25827/201163/23049/80149/5049/4534/23265/5587/3146/90423,140
GO:0006644,phospholipid metabolic process,139/5559,389/18903,0.0038059994596274,0.021997039887632,0.0155119068713926,5048/51099/10903/10908/26751/3631/1608/3632/51447/5289/1120/8897/80339/9517/9218/660/55512/10423/5296/51477/20/1119/4598/10162/8503/5335/79575/3949/376497/7376/10955/7080/85465/27163/3613/114884/6622/27315/8525/472/116150/55529/2224/1040/151056/54965/133121/3636/138429/4597/147011/3635/4204/9655/5293/4023/1436/283871/8398/9021/8651/5333/5320/5154/7405/259230/56895/56848/23446/1103/949/80271/5155/9468/5007/5467/5321/8835/79887/84668/2181/56261/145447/3158/204962/55500/79888/142891/171586/824/10654/256987/21/10555/9306/154141/81490/23236/5833/5359/30849/22876/5291/27440/3030/8898/94005/26090/9388/9487/8821/56994/200576/4952/81579/57153/84962/3357/1607/8612/129642/7941/3992/284161/285172/23049/51205/2171/5277/145567/2879/255738/4534/9807/11145/23556/84188/22908/5297,139
GO:0071692,protein localization to extracellular region,139/5559,368/18903,0.0003065940398814,0.0033124481695733,0.0023358773628276,1080/1595/572/5048/2696/9066/7260/2182/55737/6720/3993/5289/5991/65985/5019/5978/10890/43/7430/162/5127/869/3783/93145/9545/5864/55240/1268/27230/2693/6659/9572/7425/54795/7376/55107/6616/4628/26056/2752/56262/5910/2201/7226/25874/2029/55204/27063/6934/4253/55691/80223/3745/4760/4825/133308/4218/90007/8754/9024/153339/4087/5781/1946/8398/222546/9230/5071/8660/27445/5478/399687/415116/10497/26286/3479/140689/51768/51083/11069/5125/6422/2645/5007/5467/64175/8609/301/64215/5211/26154/9515/818/2308/115827/114/55585/2150/164/51030/7857/111/9699/389692/3123/3382/5798/6558/173/10961/55763/3091/1311/5532/5715/4988/3156/10802/4053/130399/79651/5894/9575/7099/5530/5066/1813/654/26958/2039/84315/27236/55088/143425/5581/5936/284119/201475/283,139
GO:0060271,cilium assembly,138/5559,362/18903,0.0002019802607468,0.0024488208304835,0.001726863289844,6792/1767/4134/10198/9696/1785/5991/10464/51314/5990/8655/57096/10013/3983/9342/11020/6101/93233/7016/27077/10938/27031/80321/56171/83544/55717/989/80776/10257/8195/55112/146057/3911/10677/80210/54874/403/55212/91978/115704/51057/64422/221322/2934/84229/2909/89765/221908/154865/4218/352909/26005/153241/3175/5314/9657/51134/79874/146754/401024/2316/3064/55779/100507003/57787/80199/79645/57545/23224/9474/57560/5108/2932/80173/9786/25876/29070/57562/23329/5992/10096/55704/112752/27019/54806/4957/282809/1453/22994/4851/132320/50807/200162/755/27185/3754/200373/27148/348807/55764/27152/286464/284001/285331/89876/10801/79659/144535/90120/8100/3784/2665/29105/7419/8555/1540/95681/25981/117178/9480/4952/22832/9857/10097/85452/55835/57728/57216/123016/55130/84140/63917/3985/200728/137392/2712/80217/168448,138
GO:0035592,establishment of protein localization to extracellular region,138/5559,360/18903,0.0001517066804731,0.0019767840182862,0.0013939916349269,1080/1595/572/5048/2696/9066/7260/2182/55737/6720/3993/5289/5991/65985/5019/5978/10890/43/7430/162/5127/869/3783/93145/9545/5864/55240/1268/27230/2693/6659/9572/7425/54795/7376/55107/6616/4628/26056/2752/56262/5910/7226/25874/2029/55204/27063/6934/4253/55691/80223/3745/4760/4825/133308/4218/90007/8754/9024/153339/4087/5781/1946/8398/222546/9230/5071/8660/27445/5478/399687/415116/10497/26286/3479/140689/51768/51083/11069/5125/6422/2645/5007/5467/64175/8609/301/64215/5211/26154/9515/818/2308/115827/114/55585/2150/164/51030/7857/111/9699/389692/3123/3382/5798/6558/173/10961/55763/3091/1311/5532/5715/4988/3156/10802/4053/130399/79651/5894/9575/7099/5530/5066/1813/654/26958/2039/84315/27236/55088/143425/5581/5936/284119/201475/283,138
GO:0006936,muscle contraction,138/5559,351/18903,3.84353040732172e-05,0.0006610872300593,0.0004661865232291,6329/5606/5733/3757/5318/493/10060/490/79041/5743/2023/1739/4660/3320/384/6548/6547/2010/10848/1760/7138/5144/51130/6869/51086/148/2693/7852/800/1908/8195/2258/7137/1264/3270/54795/6535/1837/10021/5910/7168/342667/805/817/2934/226/23704/3778/808/476/5224/26287/143872/7171/1613/442721/3728/29895/6331/8398/10345/6261/8912/55959/2316/6262/9722/5348/406937/406991/8913/477/4638/6093/1906/6722/10087/8082/3164/9732/6332/23213/2697/7402/781/776/7871/323/147/136/6444/2548/4762/29119/3768/5142/801/1756/554212/406944/89/23327/3784/387/3781/2775/1832/8106/4092/1311/857/3736/4090/2257/1143/7139/30819/1907/80763/6926/3357/26509/1134/8654/93649/6769/1813/9456/134/80149/783/55800/156/340481/6525/5592/5350/3281,138
GO:0010720,positive regulation of cell development,138/5559,307/18903,4.5258957908145e-09,4.70839158883122e-07,3.32027091886409e-07,572/5048/6792/27067/9175/284403/7520/1785/5991/10562/8140/79791/84079/1954/6009/3984/7016/4192/7422/3567/3280/2043/4352/7852/57580/23499/4654/5879/90865/56965/1382/84630/26230/26011/5789/118813/7074/7804/50848/4825/133308/6692/1499/4204/10636/5881/10221/10458/627/6664/1003/91663/1946/6092/5501/5649/2316/63925/10215/6376/51188/5583/23013/55679/5362/55604/23011/6604/118/1399/11078/23405/1869/2737/4618/6722/4124/3398/650/80237/8650/4076/6498/9353/4851/3688/89780/27185/5584/5364/57611/2915/6091/1826/1605/26259/2290/5034/4673/57698/4311/6281/89/5591/1523/118738/30812/51265/998/8829/3091/23394/4092/9253/5803/6387/65981/4988/6794/1959/4821/6608/64855/10097/8654/1813/85458/140578/27020/673/2039/57465/1398/5139/644943/7052/91584/4067,138
GO:0030336,negative regulation of cell migration,138/5559,368/18903,0.0004582561407966,0.0045146356189192,0.0031836377820236,7414/999/493/10076/4804/5217/23332/7481/23598/657/10014/1845/23603/64426/9750/653/2043/2309/1843/4035/5911/6237/23309/54567/482/4301/5879/7080/9314/90865/7057/7168/11057/11221/8751/388/5793/2768/3084/56999/10370/1365/161742/138429/6774/4204/25932/5734/10221/3728/186/5912/9241/10718/613/196528/9901/51466/4763/57522/104/554213/693173/406937/406991/6376/80199/22998/1265/8692/29775/79890/6422/8976/727/23189/9368/5467/6722/9270/10672/6370/84034/23143/23213/5607/9353/4851/2697/7070/23122/3622/25942/6091/4163/653464/1605/5797/286205/79772/23236/9863/9289/406929/100302153/11188/5926/51742/387/6910/182/4092/65009/5054/6387/56940/3488/130399/684/90627/79595/80031/93649/23671/90102/3486/1813/56477/201163/673/5928/134/8819/753/5592/3146/100423036/83481,138
GO:0009306,protein secretion,137/5559,359/18903,0.0002014644780065,0.0024488208304835,0.001726863289844,1080/1595/572/5048/2696/9066/7260/2182/55737/6720/3993/5289/5991/65985/5019/5978/10890/43/7430/162/5127/869/3783/93145/9545/5864/55240/1268/27230/2693/6659/9572/7425/54795/7376/55107/6616/4628/26056/2752/56262/5910/7226/25874/2029/55204/27063/6934/4253/55691/80223/3745/4760/4825/133308/4218/90007/8754/9024/153339/4087/5781/1946/8398/222546/9230/5071/8660/27445/5478/399687/415116/10497/26286/3479/140689/51768/51083/11069/5125/6422/2645/5007/5467/64175/8609/301/64215/5211/26154/9515/818/2308/115827/114/55585/2150/164/51030/7857/111/9699/389692/3123/3382/5798/6558/10961/55763/3091/1311/5532/5715/4988/3156/10802/4053/130399/79651/5894/9575/7099/5530/5066/1813/654/26958/2039/84315/27236/55088/143425/5581/5936/284119/201475/283,137
GO:0061458,reproductive system development,137/5559,310/18903,1.89754176609441e-08,1.47035346414555e-06,1.03686614746192e-06,2288/5310/7812/2067/3371/4438/8626/1739/2099/23598/2254/59338/84687/595/867/2735/653/7422/5618/55870/2309/8743/3624/8195/7425/599/3169/6874/2488/3021/4678/3295/5156/7080/152006/4089/56956/8751/2620/472/2241/10018/3020/10370/4846/1499/7536/367/3643/55636/598/8433/1051/9420/2/63951/10409/10265/89766/5781/64478/9241/7490/6092/5727/5154/1495/2296/1399/11144/9468/6422/2737/2253/1822/7337/10765/3623/6662/8894/3791/9667/5914/301/83990/23213/658/9353/4851/9510/55585/431707/22836/836/558/3622/23414/7314/2492/5916/4762/6586/83943/5660/9289/30812/578/5926/3309/54477/51742/5798/2263/546/7301/1299/23411/22862/6299/7474/79084/6794/92/2069/6926/93649/409/8893/654/10461/7476/57728/25836/132625/10388/4914/283,137
GO:0090130,tissue migration,137/5559,374/18903,0.0014163687562899,0.0102867537696856,0.0072540290557015,25960/5606/9734/493/5586/5217/5743/23332/79977/10013/23598/4627/55612/8766/3315/7016/10014/9404/23603/7422/1839/57142/6869/8503/8828/10755/5335/6615/1948/154796/6237/23499/54567/54453/2113/2752/5879/9314/7057/2252/11221/388/51057/5793/116150/8817/22976/56999/4846/161742/8754/4204/9839/5293/57449/3728/3725/5781/1960/1003/186/6667/8660/51466/4763/7114/406942/406991/3675/2896/6093/9448/949/2260/1906/29775/5155/23189/2253/5467/6722/57669/9270/5585/3164/6662/7429/3791/301/5607/5170/54828/1969/9922/9353/10769/4851/3688/5578/23122/196740/6091/4163/7857/5797/2303/54443/9564/5291/387/5829/23411/8829/3091/4318/55294/411/2246/7474/3964/2185/3397/1907/90627/284/7476/80149/10982/5581/2523/5587/3146/2050/6273/6997/100423036/83481,137
GO:0090132,epithelium migration,137/5559,369/18903,0.000768945971271,0.0065680537877587,0.0046316704066757,25960/5606/9734/493/5586/5217/5743/23332/79977/10013/23598/4627/55612/8766/3315/7016/10014/9404/23603/7422/1839/57142/6869/8503/8828/10755/5335/6615/1948/154796/6237/23499/54567/54453/2113/2752/5879/9314/7057/2252/11221/388/51057/5793/116150/8817/22976/56999/4846/161742/8754/4204/9839/5293/57449/3728/3725/5781/1960/1003/186/6667/8660/51466/4763/7114/406942/406991/3675/2896/6093/9448/949/2260/1906/29775/5155/23189/2253/5467/6722/57669/9270/5585/3164/6662/7429/3791/301/5607/5170/54828/1969/9922/9353/10769/4851/3688/5578/23122/196740/6091/4163/7857/5797/2303/54443/9564/5291/387/5829/23411/8829/3091/4318/55294/411/2246/7474/3964/2185/3397/1907/90627/284/7476/80149/10982/5581/2523/5587/3146/2050/6273/6997/100423036/83481,137
GO:0045862,positive regulation of proteolysis,137/5559,372/18903,0.0011143998556986,0.0086915103618578,0.0061290928231069,54467/572/355/9709/4804/2023/9733/5978/79594/4627/9978/8312/27113/3249/2931/5118/152503/10162/10213/2043/1191/8743/3092/112399/11047/9026/842/23640/3300/90865/55212/160418/351/3491/1944/84236/6622/84630/154214/2934/10018/65018/3818/1365/6774/8754/11337/9655/9451/10221/1263/64110/5071/29978/4155/10399/1654/1050/406991/2729/2896/8554/8975/23291/489/2932/7023/6923/51343/29997/1855/6582/317/863/29979/10541/255488/144165/1453/3329/9705/89780/57630/153769/2264/5701/27185/10845/8738/6091/26259/55367/255082/90637/2903/1364/6281/65992/114881/51667/578/5601/6317/387/23198/55743/23151/4898/23411/83874/4092/29108/6449/857/55294/64065/440730/2185/130399/51429/2161/23287/5366/6872/7498/25898/80149/8945/8313/54205/10892/54998/6613/431705/3146/1454/4067,137
GO:0008544,epidermis development,136/5559,362/18903,0.0004591880392829,0.0045146356189192,0.0031836377820236,56603/5048/7399/4804/4904/8626/2355/79977/55612/412/54845/1687/2146/2735/3280/4610/3624/3229/8202/6431/6615/7053/64919/7538/3911/9314/25833/2252/4089/1382/51057/222223/79987/6692/1499/3516/8754/25932/3856/3643/474/5017/5970/5339/2131/23764/677/5453/5727/613/4763/3914/4097/5154/8861/9935/10083/80199/27032/5583/9497/2296/6093/51083/80173/55506/11078/26133/51588/84518/9368/5467/3664/8609/5493/4488/5357/6662/23022/8546/4038/301/8796/4926/1969/130120/26154/1956/7357/4851/60485/147495/1896/7401/27152/836/125981/10555/9079/126695/2810/2118/81858/5454/2709/23254/3123/161497/3784/23369/3918/2263/7251/5744/6820/1832/182/2068/7474/3488/2069/55504/6608/51535/29841/2317/4647/5530/135228/94234/2171/340481/286262/5465/7027/3853,136
