peak_id,chr,start,end,width,conc,conc_ctrl,conc_treat,fold,p_value,FDR,annotation,gene_chr,gene_start,gene_end,gene_len,gene_strand,gene_id,transcript_id,distance_to_tss
4464,chr3,43455198,43455599,402,3.536312,2.096126,4.242493,-1.069561,0.0004525762996486,0.0048102364117546,"Intron (ENST00000292246.8/ENSG00000160746.13, intron 11 of 12)",3,43472477,43472596,120,1,ENSG00000251811.1,ENST00000516002.1,-16878
4465,chr11,57637593,57640436,2844,7.999039,7.611122,8.304447,-0.616587,0.0004528711303278,0.0048102364117546,Promoter (<=1kb),11,57638024,57650709,12686,1,ENSG00000254602.2,ENST00000528466.1,0
4466,chr4,48421276,48421387,112,6.3978,6.720113,5.982121,0.68796,0.0004528761152352,0.0048102364117546,"Intron (ENST00000264313.11/ENSG00000109171.15, intron 7 of 7)",4,48383678,48420489,36812,1,ENSG00000109171.15,ENST00000510595.1,37598
4467,chr10,114846976,114847088,113,6.393771,6.704556,5.997116,0.670873,0.0004529195828667,0.0048102364117546,"Intron (ENST00000369250.7/ENSG00000151553.15, intron 11 of 16)",10,114860791,114863914,3124,1,ENSG00000151553.15,ENST00000411414.1,-13703
4468,chr13,110955049,110955515,467,4.259365,3.217071,4.858154,-1.009056,0.0004529619011911,0.0048102364117546,"Intron (ENST00000652145.1/ENSG00000290807.1, intron 2 of 2)",13,110956519,110960063,3545,2,ENSG00000290807.1,ENST00000651843.1,4548
4469,chr6,126668444,126668557,114,5.090673,5.504857,4.507416,0.850108,0.000454080428102,0.0048210356125721,"Intron (ENST00000651326.1/ENSG00000286215.1, intron 3 of 6)",6,126683036,126683847,812,1,ENSG00000217404.2,ENST00000405151.2,-14479
4470,chr3,195442193,195443728,1536,7.359141,6.997693,7.647934,-0.592183,0.0004551488913884,0.004830549636012,Promoter (<=1kb),3,195274745,195443020,168276,2,ENSG00000114331.16,ENST00000326793.11,0
4471,chr4,184401574,184402190,617,4.246817,4.824554,3.26828,0.969416,0.0004551801429482,0.004830549636012,"Intron (ENST00000696840.1/ENSG00000168310.12, intron 8 of 10)",4,184387791,184392972,5182,2,ENSG00000168310.12,ENST00000696847.1,-8602
4472,chr6,151045513,151045963,451,4.002987,4.646726,2.81076,1.017887,0.0004556911021857,0.0048348907460889,"Intron (ENST00000611279.4/ENSG00000120254.16, intron 26 of 27)",6,151036974,151042058,5085,1,ENSG00000120254.16,ENST00000450635.1,8539
4473,chr3,100452860,100452978,119,6.060017,6.388946,5.633235,0.674297,0.000455804146765,0.0048350089773551,"Intron (ENST00000466996.5/ENSG00000206535.8, intron 3 of 3)",3,100492619,100577444,84826,1,ENSG00000181458.10,ENST00000323523.8,-39641
4474,chr6,125588652,125588765,114,6.62823,6.933881,6.239918,0.660395,0.0004560024502045,0.0048360313494205,"Intron (ENST00000656901.1/ENSG00000237742.8, intron 3 of 3)",6,125674353,125720218,45866,1,ENSG00000224506.3,ENST00000423208.2,-85588
4475,chr4,17684153,17684267,115,5.39666,5.784288,4.865002,0.78372,0.0004562651588391,0.0048377361467263,"Intron (ENST00000265018.4/ENSG00000047662.5, intron 7 of 17)",4,17630924,17632439,1516,1,ENSG00000118579.13,ENST00000499786.4,53229
4476,chr1,117535691,117535805,115,7.181162,7.518118,6.740724,0.709405,0.0004567717395216,0.0048420253567518,Distal Intergenic,1,117549415,117549922,508,1,ENSG00000226755.2,ENST00000455691.2,-13610
4477,chr3,183434848,183435482,635,4.148271,4.76224,3.057581,0.996144,0.0004571379500832,0.0048448249844875,Distal Intergenic,3,183338829,183428778,89950,2,ENSG00000053524.13,ENST00000482017.1,-6070
4478,chr14,48805185,48805736,552,4.536681,3.724754,5.053079,-0.941544,0.000457621441052,0.0048476377558614,Distal Intergenic,14,48819360,48819593,234,1,ENSG00000258381.1,ENST00000555346.1,-13624
4479,chr5,1667187,1668754,1568,5.445979,4.818206,5.881955,-0.820462,0.0004576739807148,0.0048476377558614,Distal Intergenic,5,1639627,1644700,5074,2,ENSG00000288549.1,ENST00000673877.1,-22487
4480,chr6,138439248,138439360,113,6.836424,7.14102,6.449818,0.648087,0.0004577414105099,0.0048476377558614,"Intron (ENST00000343505.10/ENSG00000135540.12, intron 5 of 7)",6,138435213,138435294,82,2,ENSG00000266555.1,ENST00000580727.1,-3954
4481,chr5,151425118,151425576,459,4.187017,4.730158,3.305667,0.969972,0.0004578120212446,0.0048476377558614,"Exon (ENST00000647906.1/ENSG00000290991.1, exon 2 of 4)",5,151366433,151431352,64920,2,ENSG00000253897.3,ENST00000517788.1,5776
4482,chr11,135069932,135070276,345,3.774741,2.499919,4.440792,-1.052868,0.0004581043391309,0.0048496507548156,"Intron (ENST00000532071.1/ENSG00000255512.2, intron 2 of 2)",11,135061781,135075899,14119,2,ENSG00000255512.2,ENST00000532071.1,5623
4483,chr7,125242280,125242394,115,6.372604,6.680105,5.981296,0.643485,0.0004585450607364,0.0048532335582918,"Intron (ENST00000660851.1/ENSG00000224897.9, intron 3 of 3)",7,125229579,125264291,34713,2,ENSG00000219445.2,ENST00000420224.1,21897
4484,chr8,71715856,71716824,969,5.505443,4.97729,5.891215,-0.767892,0.0004593615303928,0.0048607907881532,"Intron (ENST00000691315.1/ENSG00000254277.2, intron 1 of 2)",8,71675377,71702435,27059,1,ENSG00000254277.2,ENST00000521131.1,40479
4485,chr1,234259661,234259770,110,4.843496,5.277793,4.219225,0.87922,0.000459601164056,0.004861974022871,Promoter (1-2kb),1,234261706,234274465,12760,1,ENSG00000231272.1,ENST00000456078.1,-1936
4486,chr13,106883253,106883366,114,5.705079,6.055986,5.240411,0.741573,0.0004596782892134,0.004861974022871,Distal Intergenic,13,106863816,106864286,471,2,ENSG00000174408.8,ENST00000328558.3,-18967
4487,chr16,49330334,49330450,117,8.415461,8.740572,7.995103,0.665489,0.0004599751912528,0.0048640300589623,Promoter (<=1kb),16,49330465,49348704,18240,1,ENSG00000279249.4,ENST00000668453.1,-15
4488,chr15,69820812,69821172,361,3.691065,4.32363,2.538038,1.038723,0.000460936168945,0.0048731059144617,Promoter (1-2kb),15,69820756,69822856,2101,2,ENSG00000259309.2,ENST00000561316.1,1684
4489,chr1,48775976,48777170,1195,5.250224,4.630209,5.682473,-0.81776,0.0004613438853985,0.0048763298450415,Promoter (<=1kb),1,48727519,48776891,49373,2,ENSG00000162373.13,ENST00000371833.4,0
4490,chr18,36947822,36948349,528,4.43746,3.638977,4.94847,-0.956249,0.0004617390040194,0.004879419212186,"Intron (ENST00000592611.5/ENSG00000150477.15, intron 4 of 10)",18,36923940,37222302,298363,1,ENSG00000150477.15,ENST00000586135.1,23882
4491,chr5,165980412,165980524,113,7.633402,7.97195,7.190231,0.700048,0.0004622977059073,0.004884235482051,Distal Intergenic,5,166028567,166029311,745,2,ENSG00000254252.1,ENST00000520308.1,48787
4492,chr7,27112741,27112855,115,6.26268,6.581203,5.853301,0.682313,0.0004624135967916,0.0048843722930921,Promoter (<=1kb),7,27110479,27113845,3367,2,ENSG00000105997.23,ENST00000522456.1,990
4493,chr2,221397601,221397714,114,5.430493,5.812118,4.910121,0.767345,0.0004628735827729,0.0048881428345009,Distal Intergenic,2,221286244,221372698,86455,2,ENSG00000290000.1,ENST00000702411.1,-24903
4494,chr2,132973419,132973536,118,7.863079,8.172575,7.468526,0.639625,0.0004634356422718,0.0048929893979783,"Intron (ENST00000409261.6/ENSG00000176771.18, intron 7 of 19)",2,132915557,132931494,15938,1,ENSG00000233729.1,ENST00000424510.1,57862
4495,chr6,5996805,5998514,1710,4.955883,4.30161,5.404366,-0.868104,0.0004637849975182,0.0048955885566734,3' UTR,6,5998715,6002963,4249,2,ENSG00000124785.9,ENST00000495850.1,4449
4496,chr8,102069329,102069439,111,5.812928,6.166257,5.343989,0.759886,0.0004640680690661,0.0048962227919072,"Intron (ENST00000311028.4/ENSG00000104490.18, intron 1 of 6)",8,101719408,102020406,300999,2,ENSG00000104490.18,ENST00000518661.5,-48923
4497,chr9,86903846,86904166,321,6.700076,7.003787,6.3149,0.653112,0.0004641379600886,0.0048962227919072,Distal Intergenic,9,86944362,86947506,3145,2,ENSG00000180447.7,ENST00000298743.9,43340
4498,chrX,13197989,13199152,1164,5.435773,4.859773,5.846308,-0.830957,0.0004641546560023,0.0048962227919072,Distal Intergenic,23,13266048,13303409,37362,2,ENSG00000235385.3,ENST00000412485.2,104257
4499,chr6,18879282,18879392,111,6.433237,6.746758,6.032104,0.67729,0.0004650018843332,0.004904069661668,Distal Intergenic,6,19143695,19144160,466,1,ENSG00000217379.2,ENST00000402485.2,-264303
4500,chr16,1826164,1827590,1427,6.081348,5.646444,6.415067,-0.685528,0.0004652155739504,0.004905233011733,Promoter (<=1kb),16,1807629,1826825,19197,2,ENSG00000063854.13,ENST00000397356.8,0
4501,chr3,9007985,9008839,855,3.62486,4.276545,2.403903,1.050714,0.0004658893465323,0.0049104538793259,Promoter (1-2kb),3,8993959,9010374,16416,2,ENSG00000196220.17,ENST00000520860.1,1535
4502,chr20,60041616,60042075,460,3.983033,2.922423,4.587646,-1.019834,0.000465917707063,0.0049104538793259,Distal Intergenic,20,60055853,60072956,17104,1,ENSG00000176659.11,ENST00000660831.1,-13778
4503,chr2,186589661,186591009,1349,6.146998,6.504767,5.670173,0.682189,0.0004661209176727,0.0049109321851102,Promoter (<=1kb),2,186590010,186680894,90885,1,ENSG00000138448.13,ENST00000696906.1,0
4504,chr2,59519172,59519285,114,8.441839,8.776192,8.005853,0.681953,0.0004661700927697,0.0049109321851102,"Intron (ENST00000606382.1/ENSG00000271955.2, intron 2 of 3)",2,59514890,59515124,235,1,ENSG00000270447.1,ENST00000604976.1,4282
4505,chr12,18426481,18426594,114,5.777865,6.14162,5.290302,0.766415,0.0004664657627207,0.0049129561619477,Promoter (1-2kb),12,18424663,18425140,478,1,ENSG00000255960.1,ENST00000535964.1,1818
4506,chr7,36979884,36980006,123,7.075659,7.382604,6.685254,0.654518,0.000466642738388,0.0049137293943715,"Intron (ENST00000310758.9/ENSG00000155849.16, intron 16 of 21)",7,36854462,36985060,130599,2,ENSG00000155849.16,ENST00000396040.6,5054
4507,chr6,110179132,110180638,1507,6.533768,6.148856,6.837313,-0.627144,0.0004668233539107,0.0049145406026975,Promoter (<=1kb),6,110099819,110179670,79852,2,ENSG00000112290.13,ENST00000392589.6,0
4508,chr15,86400135,86400244,110,5.218799,5.616588,4.667725,0.809129,0.0004673526965556,0.004918160708065,"Intron (ENST00000614907.3/ENSG00000273540.5, intron 18 of 22)",15,86305051,86317173,12123,2,ENSG00000260125.2,ENST00000563472.1,-82962
4509,chr4,24310019,24310129,111,3.741256,4.350666,2.665327,1.029072,0.0004674828756102,0.004918160708065,Distal Intergenic,4,24321454,24323679,2226,1,ENSG00000289902.1,ENST00000701499.1,-11325
4510,chr12,87855882,87856000,119,8.446077,8.800388,7.975398,0.717021,0.0004675741187406,0.004918160708065,Distal Intergenic,12,87820654,87820918,265,2,ENSG00000258179.1,ENST00000549647.1,-34964
4511,chr2,74472104,74473097,994,5.393523,5.820313,4.784765,0.791482,0.00046764867463,0.004918160708065,Promoter (<=1kb),2,74471982,74472680,699,2,ENSG00000204822.7,ENST00000258105.8,0
4512,chr4,54232805,54234192,1388,6.484754,6.076569,6.802556,-0.638048,0.0004677243168121,0.004918160708065,Promoter (2-3kb),4,54230322,54263773,33452,1,ENSG00000134853.12,ENST00000504461.5,2483
4513,chr5,172008386,172009211,826,4.598753,5.144416,3.710608,0.931387,0.0004677891433884,0.004918160708065,Promoter (1-2kb),5,172007100,172007345,246,1,ENSG00000288799.1,ENST00000688875.1,1286
4514,chrX,52920423,52921674,1252,5.948888,5.502011,6.289587,-0.697932,0.0004681564045371,0.0049202186457961,Distal Intergenic,23,52925956,52929574,3619,1,ENSG00000286118.1,ENST00000650740.1,-4282
4515,chr12,33271820,33271933,114,6.891738,7.234931,6.440547,0.723975,0.0004681922775621,0.0049202186457961,Distal Intergenic,12,33404872,33405896,1025,2,ENSG00000259937.2,ENST00000561632.2,133963
4516,chrX,111543014,111544097,1084,5.706672,5.174433,6.094608,-0.786751,0.00046855447509,0.004922934617819,Distal Intergenic,23,111511780,111518166,6387,1,ENSG00000260802.2,ENST00000563467.1,31234
4517,chr14,65968095,65968214,120,7.137973,7.453206,6.734025,0.669333,0.0004688586448615,0.0049250398453373,"Intron (ENST00000554907.1/ENSG00000258847.1, intron 3 of 3)",14,65986967,65987447,481,2,ENSG00000277651.1,ENST00000616012.1,19233
4518,chr19,55441683,55442770,1088,4.943596,4.304878,5.384778,-0.862933,0.0004692209876957,0.0049265842661387,Promoter (<=1kb),19,55431976,55443277,11302,2,ENSG00000187902.13,ENST00000416792.2,507
4519,chr11,235911,237251,1341,6.237258,5.810466,6.566193,-0.672852,0.0004693144861128,0.0049265842661387,Promoter (<=1kb),11,215030,236342,21313,2,ENSG00000142082.15,ENST00000382743.9,0
4520,chr19,3458670,3459201,532,3.872169,2.838928,4.468043,-1.024864,0.0004693171658014,0.0049265842661387,"Intron (ENST00000641145.1/ENSG00000141905.19, intron 10 of 10)",19,3452641,3454350,1710,1,ENSG00000141905.19,ENST00000589969.1,6029
4521,chr19,6530703,6531570,868,4.596314,3.853509,5.084237,-0.932196,0.0004701297723474,0.0049340228795275,Promoter (<=1kb),19,6531026,6535924,4899,1,ENSG00000125657.5,ENST00000245817.5,0
4522,chr12,48956179,48958089,1911,6.758417,6.369421,7.064492,-0.632107,0.0004703909143746,0.0049356718499,Promoter (<=1kb),12,48935723,48957487,21765,2,ENSG00000134287.10,ENST00000256682.9,0
4523,chr8,73204471,73204583,113,8.054391,8.376119,7.639687,0.662118,0.0004704978455505,0.0049357023603097,Distal Intergenic,8,73215929,73216627,699,2,ENSG00000253564.1,ENST00000518337.1,12044
4524,chr4,90335442,90335553,112,3.681112,4.298744,2.578417,1.048382,0.0004707994004276,0.0049367706900272,"Intron (ENST00000509176.6/ENSG00000184305.16, intron 3 of 10)",4,90313013,90468622,155610,1,ENSG00000184305.16,ENST00000508086.1,22429
4525,chr9,28820744,28821628,885,4.659437,5.159785,3.887044,0.895577,0.0004708563132501,0.0049367706900272,"Intron (ENST00000698399.1/ENSG00000174482.11, intron 2 of 6)",9,28863626,28863706,81,2,ENSG00000215966.1,ENST00000401147.1,42078
4526,chr1,20502846,20502961,116,6.915323,7.228639,6.514525,0.669945,0.0004710101100981,0.0049367706900272,"Intron (ENST00000264198.5/ENSG00000090432.7, intron 2 of 3)",1,20499448,20508151,8704,2,ENSG00000090432.7,ENST00000264198.5,5190
4527,chr17,27455703,27457062,1360,6.23737,5.787029,6.580073,-0.674762,0.0004710158681873,0.0049367706900272,Promoter (<=1kb),17,27456448,27626435,169988,1,ENSG00000141068.15,ENST00000644974.2,0
4528,chr20,19029720,19029829,110,5.302794,5.703396,4.746276,0.799515,0.0004712361729704,0.0049373252356596,"Intron (ENST00000617956.1/ENSG00000274863.1, intron 3 of 5)",20,19000709,19056796,56088,2,ENSG00000274863.1,ENST00000617956.1,26967
4529,chr18,41311529,41312424,896,5.106145,4.485948,5.538483,-0.827907,0.0004712768924359,0.0049373252356596,Distal Intergenic,18,41341319,41507550,166232,1,ENSG00000286328.1,ENST00000670702.1,-28895
4530,chr4,71685936,71686049,114,5.337338,5.724944,4.805722,0.790584,0.0004715918313937,0.0049395340432605,Distal Intergenic,4,71741708,71754478,12771,2,ENSG00000145321.13,ENST00000503364.5,68429
4531,chrX,29254749,29254859,111,5.665271,6.019709,5.194366,0.736664,0.0004719251643877,0.0049419344956673,"Intron (ENST00000378993.6/ENSG00000169306.10, intron 2 of 10)",23,29369001,29369845,845,2,ENSG00000227393.1,ENST00000416609.1,114986
4532,chr3,94122379,94122494,116,7.49519,7.795613,7.115297,0.630372,0.0004720311789933,0.0049419539675363,"Intron (ENST00000314622.9/ENSG00000178694.10, intron 5 of 5)",3,94075912,94077175,1264,2,ENSG00000242457.1,ENST00000478252.1,-45204
4533,chr7,128911253,128912058,806,5.219574,5.654272,4.594466,0.820857,0.0004722463982319,0.0049431165019432,Promoter (<=1kb),7,128889947,128910719,20773,2,ENSG00000135253.16,ENST00000612224.1,-534
4534,chr2,53701529,53701644,116,7.287755,7.589226,6.906182,0.635989,0.0004725672278278,0.004945383728711,"Intron (ENST00000406053.5/ENSG00000115239.24, intron 6 of 9)",2,53670606,53694562,23957,2,ENSG00000115239.24,ENST00000470707.1,-6967
4535,chr1,230186163,230186691,529,4.346605,3.412478,4.908924,-0.970904,0.0004730665641694,0.0049495176045669,"Intron (ENST00000494106.1/ENSG00000143641.10, intron 2 of 6)",1,230255358,230282120,26763,1,ENSG00000143641.10,ENST00000485438.1,-68667
4536,chr3,114975295,114975406,112,5.931017,6.282619,5.465125,0.760782,0.0004732886373009,0.0049507493965287,"Intron (ENST00000675478.1/ENSG00000181722.18, intron 2 of 11)",3,114930541,114931449,909,1,ENSG00000240002.1,ENST00000468366.1,44754
4537,chr4,53591404,53591783,380,3.42018,2.068509,4.105593,-1.065774,0.0004735975003575,0.0049526345082196,Promoter (<=1kb),4,53459301,53591486,132186,2,ENSG00000072201.14,ENST00000263925.8,0
4538,chr4,67151379,67151490,112,5.565982,5.939971,5.059772,0.755187,0.0004736776133514,0.0049526345082196,Distal Intergenic,4,66897262,66897371,110,1,ENSG00000252890.1,ENST00000517081.1,254117
4539,chr2,13988130,13988240,111,4.349322,4.858522,3.555311,0.973558,0.0004738043552581,0.0049528682635573,"Intron (ENST00000417751.5/ENSG00000230448.5, intron 2 of 4)",2,13723048,13758152,35105,1,ENSG00000227718.1,ENST00000420828.1,265082
4540,chr17,64918808,64920093,1286,6.146442,5.658909,6.51018,-0.712104,0.000474018056372,0.0049529666628396,Promoter (<=1kb),17,64854130,64919478,65349,2,ENSG00000176809.11,ENST00000584306.6,0
4541,chr12,90519279,90519390,112,5.519676,5.896355,5.008498,0.804647,0.0004740225429091,0.0049529666628396,Distal Intergenic,12,90576402,90684224,107823,1,ENSG00000286021.3,ENST00000656065.1,-57012
4542,chr2,27889884,27891346,1463,5.943598,5.472432,6.298184,-0.700143,0.0004742668201416,0.0049538553934967,Promoter (<=1kb),2,27889941,28025385,135445,1,ENSG00000158019.21,ENST00000436924.5,0
4543,chr3,133117618,133117730,113,7.449165,7.761348,7.050224,0.657088,0.0004744094508109,0.0049538553934967,Promoter (1-2kb),3,133119336,133379926,260591,1,ENSG00000144868.14,ENST00000511555.5,-1606
4544,chr11,34686483,34686599,117,8.656144,8.999487,8.204693,0.694841,0.0004744381934449,0.0049538553934967,Distal Intergenic,11,34709600,34710161,562,1,ENSG00000271369.1,ENST00000605070.1,-23001
4545,chr14,34779327,34779438,112,5.282991,5.67372,4.745451,0.807948,0.0004745252226319,0.0049538553934967,"Intron (ENST00000360310.6/ENSG00000198604.11, intron 17 of 26)",14,34771175,34773726,2552,2,ENSG00000198604.11,ENST00000554391.1,-5601
4546,chr5,112818374,112818486,113,8.522564,8.851786,8.095287,0.671436,0.0004747732017289,0.0049553539101706,"Intron (ENST00000507379.5/ENSG00000134982.17, intron 7 of 13)",5,112821896,112839871,17976,1,ENSG00000134982.17,ENST00000502371.2,-3410
4547,chr18,29464628,29464743,116,8.378697,8.70113,7.962818,0.660674,0.0004759774080712,0.0049665183712763,Distal Intergenic,18,29518259,29538393,20135,1,ENSG00000264587.5,ENST00000584482.5,-53516
4548,chr19,10295279,10295995,717,4.01495,3.014135,4.600184,-1.006695,0.0004760522161643,0.0049665183712763,"Exon (ENST00000221980.5/ENSG00000105376.5, exon 10 of 11)",19,10291473,10296776,5304,1,ENSG00000105376.5,ENST00000586480.1,3806
4549,chr13,106532947,106533688,742,4.546429,3.7125,5.071496,-0.93376,0.000476764921963,0.0049728604126844,Promoter (1-2kb),13,106489745,106535662,45918,2,ENSG00000125266.8,ENST00000646441.1,1974
4550,chr11,131904465,131905268,804,5.798082,6.160715,5.312542,0.710856,0.0004776285793186,0.0049797683097106,"Intron (ENST00000374791.7/ENSG00000182667.15, intron 1 of 7)",11,131909697,131922263,12567,1,ENSG00000182667.15,ENST00000463395.5,-4429
4551,chr1,212558210,212559218,1009,4.57586,3.816632,5.070723,-0.940784,0.0004776371096251,0.0049797683097106,Promoter (<=1kb),1,212559363,212561399,2037,1,ENSG00000288007.1,ENST00000669720.1,-145
4552,chr3,31036470,31036585,116,4.897491,5.378611,4.170526,0.940446,0.0004780006234305,0.0049824634403635,Distal Intergenic,3,31161704,31161787,84,2,ENSG00000265376.1,ENST00000580653.1,125202
4553,chr5,14728102,14728873,772,4.759535,5.228626,4.059983,0.873406,0.0004781426748885,0.0049828494702643,Promoter (<=1kb),5,14728587,14734258,5672,1,ENSG00000286970.1,ENST00000654896.1,0
4554,chr12,90291557,90291667,111,4.536084,5.028664,3.782291,0.928253,0.0004783754926818,0.0049841810225668,Promoter (<=1kb),12,90291942,90296806,4865,1,ENSG00000258183.6,ENST00000658748.1,-275
4555,chrX,100331440,100331550,111,7.323271,7.624356,6.942316,0.635574,0.0004786337091066,0.004985776559757,"Intron (ENST00000420881.6/ENSG00000165194.15, intron 4 of 4)",23,100291647,100296300,4654,2,ENSG00000165194.15,ENST00000464981.1,-35140
4556,chr17,7583067,7584200,1134,6.183858,5.74779,6.518258,-0.662706,0.0004789247228914,0.0049877129613151,Promoter (<=1kb),17,7583529,7584256,728,1,ENSG00000129255.16,ENST00000582151.1,0
4557,chr19,45077038,45077801,764,4.454426,3.605739,4.985207,-0.942222,0.0004793139149234,0.004989932480171,Promoter (<=1kb),19,45071500,45076478,4979,2,ENSG00000170684.10,ENST00000303809.7,-560
4558,chr2,78082071,78082181,111,4.742888,5.18921,4.093246,0.895785,0.0004793481757844,0.004989932480171,"Intron (ENST00000667782.1/ENSG00000227088.2, intron 1 of 6)",2,78088729,78127806,39078,1,ENSG00000229494.2,ENST00000665618.1,-6548
4559,chr17,66951702,66952473,772,5.176634,4.534786,5.619294,-0.830666,0.0004796912372316,0.0049924083843311,Distal Intergenic,17,66960393,66964520,4128,2,ENSG00000289877.1,ENST00000701320.1,12047
4560,chr12,13255739,13256638,900,6.946637,6.583055,7.236788,-0.592357,0.0004803024329246,0.0049976732099576,"Intron (ENST00000664966.1/ENSG00000286869.1, intron 1 of 3)",12,13238582,13278376,39795,2,ENSG00000286869.1,ENST00000664966.1,21738
4561,chr15,25661737,25661846,110,6.134261,6.456057,5.719445,0.688016,0.0004810080917088,0.0050039184247753,Distal Intergenic,15,25679379,25684569,5191,2,ENSG00000206190.13,ENST00000555450.2,22723
4562,chr20,61347754,61347870,117,6.332414,6.658351,5.91067,0.69961,0.0004813933324039,0.0050068283287818,"Intron (ENST00000614565.5/ENSG00000179242.16, intron 2 of 15)",20,61369879,61370855,977,1,ENSG00000276786.1,ENST00000617215.1,-22009
4563,chr7,55276895,55277004,110,3.223821,3.913886,1.852896,1.067856,0.0004815696861182,0.005007200870126,Distal Intergenic,7,55259809,55260256,448,2,ENSG00000230564.1,ENST00000452941.1,-16639
4564,chr1,105528795,105528910,116,7.440421,7.720429,7.092652,0.587689,0.0004816402118372,0.005007200870126,Distal Intergenic,1,105590039,105606003,15965,2,ENSG00000230768.9,ENST00000623447.3,77093
4565,chr11,69638839,69639712,874,5.470615,4.906173,5.875281,-0.787545,0.0004818375223066,0.0050072538732847,Promoter (1-2kb),11,69641156,69654474,13319,1,ENSG00000110092.4,ENST00000227507.3,-1444
4566,chr8,41170472,41170582,111,4.750071,5.20848,4.074248,0.883659,0.0004818563729855,0.0050072538732847,Distal Intergenic,8,41271048,41271143,96,2,ENSG00000263372.1,ENST00000579992.1,100561
4567,chr14,40569232,40569343,112,6.358215,6.670339,5.959372,0.660614,0.0004820088646336,0.0050077417580771,Distal Intergenic,14,40630006,40905513,275508,1,ENSG00000286099.1,ENST00000651539.1,-60663
4568,chr2,22143812,22144169,358,4.066596,4.659867,3.041379,0.991901,0.0004821671781031,0.0050082899007523,"Intron (ENST00000450551.1/ENSG00000228999.4, intron 2 of 4)",2,22188336,22190313,1978,1,ENSG00000223691.1,ENST00000441585.1,-44167
4569,chr5,17481162,17481363,202,6.068893,6.409492,5.622189,0.672868,0.000482492866499,0.0050105759530852,"Intron (ENST00000638486.2/ENSG00000249662.6, intron 2 of 3)",5,17490967,17492076,1110,2,ENSG00000268799.4,ENST00000600799.3,10713
4570,chr10,110206566,110208390,1825,6.287421,5.831121,6.633552,-0.680622,0.0004826899056891,0.0050115253052824,Promoter (<=1kb),10,110207605,110287365,79761,1,ENSG00000119950.21,ENST00000332674.9,0
4571,chr16,70437688,70439907,2220,6.820694,6.440748,7.12115,-0.604324,0.000482988383756,0.0050135272002745,Promoter (<=1kb),16,70375977,70439100,63124,2,ENSG00000157350.13,ENST00000342907.3,0
4572,chr4,28032951,28033065,115,7.0925,7.418973,6.669856,0.68999,0.0004838995947212,0.0050218871326193,Distal Intergenic,4,27967723,27985063,17341,2,ENSG00000251410.2,ENST00000509666.1,-47888
4573,chr3,189202422,189202533,112,4.536863,5.031502,3.778169,0.918334,0.0004842481051058,0.0050244050056992,"Intron (ENST00000433971.5/ENSG00000188001.10, intron 6 of 10)",3,189207374,189219665,12292,1,ENSG00000188001.10,ENST00000456832.1,-4841
4574,chr9,121499457,121500293,837,4.514076,5.029466,3.704676,0.917525,0.0004849980205467,0.0050310857190426,Promoter (<=1kb),9,121444991,121499757,54767,2,ENSG00000204136.12,ENST00000481534.5,0
4575,chr1,213612644,213612757,114,5.89656,6.251436,5.424881,0.733287,0.0004859764829126,0.0050401338057356,Distal Intergenic,1,213731416,213794587,63172,1,ENSG00000228255.1,ENST00000456240.1,-118659
4576,chr4,123947233,123947343,111,6.241387,6.568767,5.817217,0.709213,0.0004860878593671,0.0050401872271098,"Intron (ENST00000664622.1/ENSG00000249464.8, intron 8 of 8)",4,123924774,123930785,6012,1,ENSG00000249464.8,ENST00000662262.1,22459
4577,chr5,85700884,85700996,113,5.661216,6.025169,5.173296,0.726726,0.0004869490894117,0.0050480140691296,Distal Intergenic,5,85663232,85664684,1453,1,ENSG00000250874.1,ENST00000507387.1,37652
4578,chr22,19959042,19960039,998,5.756511,5.234422,6.139053,-0.738781,0.0004871089785597,0.0050485685484279,Promoter (2-3kb),22,19962570,19968998,6429,1,ENSG00000093010.15,ENST00000449653.5,-2531
4579,chr4,114495472,114495970,499,5.662579,5.136986,6.04699,-0.751223,0.0004874698233684,0.0050502865604344,Distal Intergenic,4,114598770,114623305,24536,1,ENSG00000174607.11,ENST00000507710.1,-102800
4580,chr4,38779534,38779643,110,4.490401,4.979017,3.745967,0.934783,0.0004874876169025,0.0050502865604344,"Intron (ENST00000308973.9/ENSG00000174123.11, intron 1 of 3)",4,38773125,38776197,3073,2,ENSG00000174123.11,ENST00000508334.1,-3337
4581,chr12,108533384,108533496,113,5.336861,5.726621,4.801163,0.830221,0.0004877645013284,0.0050520519666085,Promoter (<=1kb),12,108530210,108532617,2408,2,ENSG00000075856.12,ENST00000548582.5,-767
4582,chr17,53693789,53693898,110,5.93699,6.280598,5.485081,0.729326,0.0004880347101253,0.0050537474740351,"Intron (ENST00000650577.1/ENSG00000285939.2, intron 4 of 6)",17,53681630,53682111,482,2,ENSG00000262384.1,ENST00000571784.1,-11678
4583,chr5,24208649,24209171,523,4.652826,5.16592,3.849162,0.901098,0.0004883362835025,0.0050557669604254,"Intron (ENST00000652008.2/ENSG00000286134.2, intron 1 of 5)",5,24170370,24171246,877,1,ENSG00000226432.3,ENST00000514047.1,38279
4584,chr4,108650215,108650897,683,4.845603,4.171582,5.303189,-0.88767,0.0004885337281189,0.005056374261346,Promoter (<=1kb),4,108650585,108667818,17234,1,ENSG00000198856.13,ENST00000613215.4,0
